iter	Passed	Remaining
460	772	903
461	774	902
462	775	899
463	776	897
464	777	894
465	778	892
466	779	889
467	780	886
468	781	884
469	781	881
470	782	879
471	783	876
472	784	874
473	785	871
474	786	869
475	787	866
476	789	865
477	790	863
478	791	860
479	791	857
480	792	855
481	793	853
482	794	850
483	795	848
484	796	846
485	798	844
486	799	841
487	800	839
488	801	837
489	803	835
490	804	834
491	805	831
492	806	829
493	807	827
494	808	824
495	809	822
496	809	819
497	810	817
498	811	815
499	812	812
500	813	810
501	814	808
502	815	805
503	816	803
504	817	800
505	819	799
506	820	797
507	821	795
508	822	792
509	822	790
510	823	788
511	824	786
512	825	783
513	826	781
514	827	779
515	828	776
516	829	774
517	830	772
518	830	770
519	831	767
520	834	766
521	835	764
522	835	762
523	836	760
524	837	757
525	838	755
526	839	753
527	840	751
528	841	749
529	842	747
530	843	744
531	844	742
532	845	740
533	846	738
534	847	736
535	849	735
536	850	733
537	851	731
538	852	729
539	853	727
540	854	724
541	855	722
542	856	720
543	857	718
544	858	716
545	859	714
546	860	712
547	861	710
548	862	708
549	863	706
550	864	704
551	865	702
552	866	700
553	867	698
554	868	696
555	869	694
556	870	692
557	871	690
558	871	687
559	872	685
560	873	683
561	874	681
562	875	679
563	876	677
564	878	676
565	879	674
566	880	672
567	881	670
568	882	668
569	882	666
570	883	664
571	884	662
572	885	659
573	886	657
574	887	655
575	888	653
576	889	651
577	890	649
578	891	647
579	892	646
580	894	644
581	895	642
582	896	640
583	896	638
584	897	636
585	898	634
586	899	632
587	900	630
588	901	628
589	902	626
590	903	625
591	904	623
592	905	621
593	905	619
594	906	617
595	909	616
596	909	614
597	910	612
598	911	610
599	912	608
600	913	606
601	914	604
602	915	602
603	916	600
604	916	598
605	917	596
606	918	594
607	919	592
608	920	591
609	921	589
610	924	588
611	925	586
612	926	584
613	927	582
614	928	581
615	929	579
616	929	577
617	930	575
618	931	573
619	932	571
620	933	569
621	934	567
622	935	565
623	936	564
624	937	562
625	939	561
626	940	559
627	941	557
628	942	556
629	943	554
630	944	552
631	945	550
632	946	548
633	947	547
634	948	545
635	949	543
636	950	541
637	951	539
638	953	538
639	954	536
640	955	535
641	956	533
642	957	531
643	958	529
644	959	528
645	960	526
646	961	524
647	961	522
648	962	520
649	963	518
650	964	517
651	965	515
652	966	513
653	968	512
654	970	510
655	970	509
656	971	507
657	972	505
658	973	503
659	974	501
660	975	500
661	976	498
662	976	496
663	977	494
664	978	493
665	979	491
666	980	489
667	981	487
668	983	486
669	984	485
670	985	483
671	986	481
672	987	479
673	988	478
674	989	476
675	990	474
676	991	472
677	992	471
678	992	469
679	993	467
680	994	466
681	995	464
682	996	462
683	998	461
684	999	459
685	1000	458
686	1001	456
687	1002	454
688	1003	452
689	1004	451
690	1005	449
691	1006	447
692	1006	446
693	1007	444
694	1008	442
695	1009	441
696	1010	439
697	1011	437
698	1014	437
699	1015	435
700	1016	433
701	1018	432
702	1019	430
703	1020	429
704	1021	427
705	1022	425
706	1023	424
707	1024	422
708	1025	420
709	1026	419
710	1027	417
711	1028	415
712	1029	414
713	1030	412
714	1030	410
715	1031	409
716	1032	407
717	1033	405
718	1034	404
719	1035	402
720	1036	401
721	1037	399
722	1038	397
723	1038	396
724	1039	394
725	1040	392
726	1042	391
727	1044	390
728	1045	388
729	1046	386
730	1047	385
731	1048	383
732	1048	382
733	1049	380
734	1050	378
735	1051	377
736	1052	375
737	1053	374
738	1054	372
739	1056	371
740	1059	370
741	1061	369
